frame,timestamp_ms,left_ear_visibility,right_ear_visibility,center_x,center_y,radius,out_of_reference
468,7800,0.9924,0.9775,148,144,20,0
469,7816,0.9929,0.979,147,145,20,0
470,7833,0.9929,0.9793,147,145,20,0
471,7850,0.9932,0.9803,147,145,20,0
472,7866,0.9935,0.9813,147,145,20,0
473,7883,0.9939,0.9825,146,146,20,0
474,7900,0.9943,0.9835,146,146,20,0
475,7916,0.9947,0.9847,145,146,20,0
476,7933,0.9951,0.9858,145,146,20,0
477,7950,0.9955,0.9869,145,146,20,0
478,7966,0.9958,0.9879,145,146,20,0
479,7983,0.9961,0.9886,144,147,20,0
480,8000,0.9963,0.9893,144,147,20,0
481,8016,0.9964,0.9897,143,147,20,0
482,8033,0.9965,0.9902,143,148,20,0
483,8050,0.9966,0.9907,143,148,20,0
484,8066,0.9968,0.9914,142,149,20,0
485,8083,0.997,0.9921,141,149,20,0
486,8100,0.9972,0.9927,141,149,20,0
487,8116,0.9973,0.9932,140,148,20,0
488,8133,0.9971,0.9934,139,148,20,0
489,8150,0.9972,0.9939,139,149,20,0
490,8166,0.9972,0.9942,139,149,20,0
491,8183,0.9974,0.9947,137,149,20,0
492,8200,0.9973,0.9949,136,149,20,0
493,8216,0.9971,0.9948,136,148,20,0
494,8233,0.9973,0.9952,134,148,20,0
495,8250,0.9974,0.9955,134,147,20,0
496,8266,0.9968,0.9948,134,147,20,0
497,8283,0.9966,0.9948,134,147,20,0
498,8300,0.9966,0.9949,133,146,20,0
499,8316,0.9959,0.9945,133,146,20,0
500,8333,0.9956,0.9946,132,146,20,0
501,8350,0.9951,0.9944,132,146,20,0
502,8366,0.9947,0.9944,131,146,20,0
503,8383,0.9941,0.994,131,146,20,0
504,8400,0.9922,0.9926,131,145,20,0
505,8416,0.992,0.9925,131,146,20,0
506,8433,0.9916,0.9924,130,146,20,0
507,8450,0.9916,0.9923,130,146,20,0
508,8466,0.9904,0.9912,130,146,20,0
509,8483,0.9891,0.9901,128,146,20,0
510,8500,0.9897,0.9905,126,145,20,1
511,8516,0.9895,0.99,127,146,20,0
512,8533,0.9869,0.9864,127,146,20,0
513,8550,0.9864,0.986,128,146,20,0
514,8566,0.9864,0.9859,128,146,20,0
515,8583,0.987,0.9865,128,146,20,0
516,8600,0.9873,0.9859,128,147,20,0
517,8616,0.9882,0.9867,128,148,20,0
518,8633,0.9891,0.9875,128,149,20,0
519,8650,0.99,0.9883,129,149,20,0
520,8666,0.9906,0.9889,130,150,20,0
521,8683,0.9906,0.9887,130,151,20,0
522,8700,0.991,0.989,131,152,20,0
523,8716,0.9907,0.9883,133,152,20,0
524,8733,0.9911,0.9886,133,153,20,0
525,8750,0.9913,0.9888,135,153,20,0
526,8766,0.9914,0.9887,135,154,20,0
527,8783,0.9916,0.9889,135,154,20,0
528,8800,0.9916,0.9889,135,154,20,0
529,8816,0.9914,0.9892,136,154,20,0
530,8833,0.9913,0.9896,135,155,20,0
531,8850,0.9904,0.9887,134,155,20,0
532,8866,0.9907,0.9893,133,155,20,0
533,8883,0.9902,0.9888,131,155,20,0
534,8900,0.9904,0.9896,131,155,20,0
535,8916,0.991,0.9904,132,155,20,0
536,8933,0.9915,0.9912,132,155,20,0
537,8950,0.9917,0.9918,133,156,20,0
538,8966,0.9917,0.9923,133,156,20,0
539,8983,0.9919,0.9926,132,154,20,0
540,9000,0.992,0.9929,132,154,20,0
541,9016,0.9926,0.9935,131,153,20,0
542,9033,0.9932,0.9941,130,153,20,0
543,9050,0.9936,0.9946,131,152,20,0
544,9066,0.9941,0.9951,130,151,20,0
545,9083,0.9944,0.9955,129,151,20,0
546,9100,0.9945,0.9958,131,151,20,0
547,9116,0.9949,0.9962,131,151,20,0
548,9133,0.9953,0.9965,132,151,20,0
549,9150,0.9957,0.9968,132,151,20,0
550,9166,0.9961,0.9971,132,150,20,0
551,9183,0.9963,0.9973,133,150,20,0
552,9200,0.9964,0.9975,133,150,20,0
553,9216,0.9966,0.9977,134,150,20,0
554,9233,0.9969,0.9979,134,149,20,0
555,9250,0.9971,0.998,135,149,20,0
556,9266,0.9972,0.9982,135,149,20,0
557,9283,0.9973,0.9983,136,149,20,0
558,9300,0.9974,0.9984,137,149,20,0
559,9316,0.9976,0.9985,137,149,20,0
560,9333,0.9977,0.9986,138,148,20,0
561,9350,0.9977,0.9986,138,147,20,0
562,9366,0.9978,0.9987,139,147,20,0
563,9383,0.998,0.9988,139,146,20,0
564,9400,0.9981,0.9989,140,146,20,0
565,9416,0.9983,0.999,140,144,20,0
566,9433,0.9983,0.9991,141,144,20,0
567,9450,0.9984,0.9991,141,143,20,0
568,9466,0.9985,0.9992,142,143,20,0
569,9483,0.9986,0.9993,142,143,20,0
570,9500,0.9987,0.9993,143,143,20,0
571,9516,0.9987,0.9993,143,143,20,0
572,9533,0.9987,0.9994,145,142,20,0
573,9550,0.9988,0.9994,147,141,20,0
574,9566,0.9989,0.9994,147,141,20,0
575,9583,0.9989,0.9995,147,141,20,0
576,9600,0.999,0.9995,148,139,20,0
577,9616,0.999,0.9995,150,138,20,0
578,9633,0.999,0.9996,151,137,20,0
579,9650,0.999,0.9996,151,136,20,0
580,9666,0.9991,0.9996,152,135,20,0
581,9683,0.9991,0.9996,152,134,20,0
582,9700,0.9992,0.9997,152,134,20,0
583,9716,0.9991,0.9997,153,132,20,0
584,9733,0.9991,0.9996,154,132,20,0
585,9750,0.9991,0.9997,154,130,20,0
586,9766,0.9991,0.9997,154,129,20,0
587,9783,0.9992,0.9997,154,128,20,0
588,9800,0.9992,0.9997,155,128,20,0
589,9816,0.9992,0.9997,155,127,20,0
590,9833,0.9992,0.9998,157,124,20,0
591,9850,0.9992,0.9998,157,125,20,0
592,9866,0.9993,0.9998,158,124,20,0
593,9883,0.9992,0.9998,159,123,20,0
594,9900,0.9992,0.9998,159,123,20,0
